run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,0.8620178290002514,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
1,True,0.9073253970127553,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
2,True,0.8782108250015881,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
3,True,0.871528165997006,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
4,True,1.035013454995351,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
5,True,0.9388976299960632,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
6,True,0.8356135030044243,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
7,True,2.699939034995623,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.015803998390278545,True,11,3,
8,True,0.9217652110091876,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
9,True,0.8461106710019521,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
10,True,0.8288100229983684,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
11,True,0.8597897640138399,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
12,True,0.8643686169816647,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
13,True,0.821828047017334,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
14,True,0.821251615008805,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
15,True,0.801539459003834,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
16,True,0.904658131999895,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
17,True,0.8771055179822724,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
18,True,0.8738550989946816,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
19,True,0.8209739699959755,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
20,True,0.8756892370001879,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
21,True,0.8467200240120292,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
22,True,0.9050357190135401,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
23,True,0.8437386460136622,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
24,True,0.8475334620161448,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
25,True,0.8491468710126355,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
26,True,0.8555341660103295,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
27,True,0.841056634002598,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
28,True,0.8576055189769249,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
29,True,0.8469051110150758,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
30,True,0.8419079100131057,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
31,True,0.8342838000098709,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
32,True,0.8633261779905297,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
33,True,0.8378643590258434,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
34,True,0.8508581119822338,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
35,True,0.7927588879829273,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
36,True,0.8452757190098055,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
37,True,0.8405949320003856,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
38,True,0.8931001849996392,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
39,True,0.8882049639942124,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
40,True,0.9066271980118472,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
41,True,0.8716127699881326,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
42,True,0.8778812529926654,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
