run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,0.8770271450048313,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
1,True,0.8866114520060364,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
2,True,0.9614430720102973,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
3,True,0.9087837999977637,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
4,True,0.8499331529892515,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
5,True,0.9115408060024492,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
6,True,0.8649216039921157,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
7,True,0.872263257013401,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
8,True,0.8768420119886287,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
9,True,0.8349582180089783,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
10,True,0.8426758220011834,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
11,True,0.8604385429935064,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
12,True,0.8505104920186568,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
13,True,0.8805603939981665,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
14,True,0.8439089300227351,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
15,True,0.8622925060044508,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
16,True,0.8847387690038886,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
17,True,0.8641580590046942,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
18,True,0.8647332190012094,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
19,True,0.8686339510022663,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
20,True,0.8664586819941178,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
21,True,0.8810729460092261,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
22,True,0.8740444760187529,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
23,True,0.8886896560143214,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
24,True,0.8795226810034364,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
25,True,0.9461648679862265,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
26,True,0.8855753430107143,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
27,True,0.8717356570123229,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
28,True,0.9338245800172444,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
29,True,0.9203588440141175,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
30,True,0.9340722930210177,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
31,True,0.876350097998511,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
32,True,1.009298218996264,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
33,True,0.9591692040266935,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
34,True,1.0221376070112456,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
35,True,1.0020680770103354,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
36,True,1.2043241080245934,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
37,True,1.0901374419918284,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
38,True,0.9067825030069798,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
39,True,0.9428308709757403,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
40,True,0.894203640986234,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
41,True,0.9448074359970633,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
42,True,0.8731641810154542,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
