run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,3.6895792669965886,makebase O3,O1 on O3,O1 on O3 | O2 on O1 | O5 on O2,0.8547682735378839,True,12,3,
1,True,3.298841537995031,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
2,True,3.249234568007523,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
3,True,3.951040109008318,makebase O5,O2 on O5,O2 on O5 | O3 on O2 | O4 on O3,0.2127618307575,True,12,3,
4,True,3.512287418998312,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
5,True,3.4424758960085455,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
6,True,3.2736485589994118,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
7,True,3.4067628560005687,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
8,True,3.3202541499922518,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
9,True,3.3419334000209346,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
10,True,3.895990171993617,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
11,True,3.4194554220011923,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
12,True,3.463844792015152,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
13,True,3.4792501690099016,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
14,True,3.4516949089884292,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
15,True,3.465880804025801,makebase O1,O2 on O1,O2 on O1 | O5 on O2 | O3 on O5,0.8975065927403999,True,12,3,
16,True,3.7881813799904194,makebase O5,O1 on O5,O1 on O5 | O2 on O1 | O3 on O2,0.8547682735378839,True,12,3,
17,True,3.456804777000798,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
18,True,3.490195855003549,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
19,True,3.226581359980628,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
20,True,3.2340956480184104,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
21,True,3.282758268993348,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
