run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,1.2471475639904384,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
1,True,1.3169014699815307,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
2,True,1.6840295520087238,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
3,True,1.3912485090258997,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
4,True,1.2545558839919977,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
5,True,1.4328786020050757,makebase O5,O3 on O5,O3 on O5 | O1 on O3,0.22395982185000002,True,9,2,
6,True,1.2059148899861611,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
7,True,1.2137912759790197,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
8,True,1.169604595983401,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
9,True,1.3793552369752433,makebase O5,O3 on O5,O3 on O5 | O1 on O3,0.22395982185000002,True,9,2,
10,True,1.3062858239864,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
11,True,1.2570037260011304,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
12,True,1.2735612729738932,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
13,True,1.3143807020096574,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
14,True,1.2997240420081653,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
15,True,1.2830158209835645,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
16,True,1.2387205029954202,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
