run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,1.2077628030092455,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
1,True,1.16690153098898,makebase O2,O5 on O2,O5 on O2 | O1 on O5,0.37248610370400004,True,9,2,
2,True,1.2232446820125915,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
3,True,1.0977435619861353,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
4,True,1.1409175700100604,makebase O2,O3 on O2,O3 on O2 | O4 on O3,0.8846554740739999,True,9,2,
5,True,1.090837419993477,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
6,True,1.2036473669868428,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
7,True,1.1638102520082612,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
8,True,1.088004653021926,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
9,True,1.1582929809810594,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
10,True,1.1985930560040288,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
11,True,1.2181174809811637,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
12,True,1.1658700469997711,makebase O2,O5 on O2,O5 on O2 | O1 on O5,0.37248610370400004,True,9,2,
13,True,1.2038003370107617,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
14,True,1.169575398991583,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
15,True,1.2391371169942431,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
16,True,1.1568904439918697,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
17,True,1.1559642019856256,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
18,True,1.1562304979888722,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
19,True,1.3258578320092056,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
20,True,1.200797411001986,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
21,True,1.1228513660025783,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
22,True,1.1526086950034369,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
23,True,1.1272310329950415,makebase O2,O3 on O2,O3 on O2 | O4 on O3,0.8846554740739999,True,9,2,
24,True,1.332372172997566,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
25,True,1.145166677015368,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
26,True,1.1455369069881272,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
27,True,1.089696434995858,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
28,True,1.1540399999939837,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
29,True,1.1354351899935864,makebase O2,O3 on O2,O3 on O2 | O4 on O3,0.8846554740739999,True,9,2,
30,True,1.1650097150122747,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
31,True,1.119238826999208,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
32,True,1.167964046006091,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
33,True,1.1535798439872451,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
34,True,1.1419520100171212,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
35,True,1.1651513389952015,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
36,True,1.1773787460115273,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
37,True,1.2672244040004443,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
38,True,1.1580082660075277,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
39,True,1.1787368330114987,makebase O2,O3 on O2,O3 on O2 | O4 on O3,0.8846554740739999,True,9,2,
40,True,1.174367625004379,makebase O2,O5 on O2,O5 on O2 | O1 on O5,0.37248610370400004,True,9,2,
41,True,1.286383137019584,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
42,True,1.1826777049864177,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
43,True,1.1637708049966022,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
44,True,1.176465972996084,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
45,True,1.2339312699914444,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
46,True,1.1349991969764233,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
47,True,1.2142561599903274,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
48,True,1.1007102979929186,makebase O3,O2 on O3,O2 on O3 | O4 on O2,0.8846554740739999,True,9,2,
49,True,1.1223936939786654,makebase O2,O5 on O2,O5 on O2 | O1 on O5,0.37248610370400004,True,9,2,
50,True,1.1490986449935008,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
51,True,1.135957969003357,makebase O3,O5 on O3,O5 on O3 | O4 on O5,0.8846554740739999,True,9,2,
52,True,1.160931467980845,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
