run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,1.8541302439989522,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
1,True,1.909434447006788,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
2,True,2.0833172170096077,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
3,True,1.9667525939876214,makebase O4,O3 on O4,O3 on O4 | O5 on O3,0.9447437818319999,True,9,2,
4,True,2.0526021539990325,makebase O4,O3 on O4,O3 on O4 | O5 on O3,0.9447437818319999,True,9,2,
5,True,1.8583401649957523,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
6,True,1.933737393002957,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
7,True,1.949773111002287,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
8,True,1.8895706520124804,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
9,True,2.049301955004921,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
10,True,1.9497103730100207,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
11,True,1.9748218840104528,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
12,True,2.070223452989012,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
13,True,1.9380936799861956,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
14,True,2.118148495006608,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
15,True,1.9561949789931532,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
16,True,1.916898189985659,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
17,True,2.072953110007802,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
18,True,2.0246155459899455,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
19,True,2.0935983110102825,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
20,True,1.8777850810147356,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
21,True,1.8740087450132705,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
22,True,2.0422752619779203,makebase O4,O3 on O4,O3 on O4 | O2 on O3,0.9447437818319999,True,9,2,
23,True,1.8466643680003472,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
24,True,2.0601279200054705,makebase O4,O3 on O4,O3 on O4 | O5 on O3,0.9447437818319999,True,9,2,
25,True,2.001281357021071,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
26,True,1.9102652829897124,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
27,True,2.1181211340008304,makebase O4,O3 on O4,O3 on O4 | O2 on O3,0.9447437818319999,True,9,2,
28,True,1.8689320429984946,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
29,True,1.9611085100041237,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
30,True,2.0404975689889397,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
31,True,1.92105985301896,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
32,True,2.197687430016231,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
33,True,1.9869738959823735,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
34,True,2.091150183987338,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
35,True,2.005218058999162,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
