run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,2.1235529910190962,makebase O4,O3 on O4,O3 on O4 | O2 on O3,0.9447437818319999,True,9,2,
1,True,2.10519601899432,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
2,True,2.146226070006378,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
3,True,2.2481295430043247,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
4,True,1.784215255989693,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
5,True,1.9237714699993376,makebase O4,O3 on O4,O3 on O4 | O2 on O3,0.9447437818319999,True,9,2,
6,True,1.8462253879988566,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
7,True,2.1103024529875256,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
8,True,1.9199019560182933,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
9,True,1.9290634480130393,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
10,True,2.029192804999184,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
11,True,1.9911226719850674,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
12,True,2.051785921008559,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
13,True,2.0535704779904336,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
14,True,1.957317210995825,makebase O4,O3 on O4,O3 on O4 | O5 on O3,0.9447437818319999,True,9,2,
15,True,2.063183085003402,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
16,True,1.8821391369856428,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
17,True,1.938760140008526,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
18,True,1.961498129996471,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
19,True,1.9050361520203296,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
20,True,2.054748245020164,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
21,True,1.9355579539842438,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
22,True,1.853463917010231,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
23,True,1.9641472770017572,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
24,True,1.8597299329994712,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
25,True,1.9344251090078615,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
26,True,1.9807008689967915,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
27,True,1.9532178899971768,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
28,True,2.030515465012286,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
