run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,2.514714610995725,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
1,True,2.5224354550009593,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
2,True,2.7695766190008726,makebase O5,O3 on O5,O3 on O5 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
3,True,2.399573844013503,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
4,True,2.369719221984269,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
5,True,2.441760638001142,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O3 on O4,0.8547682735378839,True,12,3,
6,True,2.3307539829984307,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
7,True,2.2938599080080166,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
8,True,2.33164678097819,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
9,True,2.3996425609802827,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
10,True,2.5836373810016084,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O1 on O3,0.21898276272902745,True,12,3,
11,True,2.481468392012175,makebase O3,O5 on O3,O5 on O3 | O2 on O5 | O4 on O2,0.8404227003702999,True,12,3,
12,True,2.526876413001446,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
13,True,2.3435787440103013,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
14,True,2.4443456179869827,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
15,True,2.304835496004671,makebase O3,O5 on O3,O5 on O3 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
16,True,2.4226363049820065,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
17,True,2.4080356379854493,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
18,True,2.4633275840024,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
19,True,2.422679164999863,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
20,True,2.4274671460152604,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
21,True,2.2281159099948127,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
22,True,2.4248258559964597,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
23,True,2.517804805014748,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
24,True,2.4713522380043287,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
25,True,2.329095334018348,makebase O3,O2 on O3,O2 on O3 | O4 on O2 | O1 on O4,0.19935888039352404,True,12,3,
26,True,2.408666393981548,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
27,True,2.339973819995066,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
28,True,2.3800737030105665,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
29,True,2.437768161005806,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
30,True,2.3804901039984543,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
31,True,2.405654703004984,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
32,True,2.307141658006003,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
33,True,2.4250254729995504,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
34,True,2.387608007993549,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
35,True,2.570034538017353,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
36,True,2.2805898459919263,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
37,True,2.3424856209894642,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
38,True,2.236963192000985,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
39,True,2.3945428850129247,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
40,True,2.2978558460017666,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
41,True,2.4739757089992054,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
42,True,2.4133240329974797,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
43,True,2.4987431679910515,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O1 on O3,0.21898276272902745,True,12,3,
44,True,2.425444350024918,makebase O5,O2 on O5,O2 on O5 | O4 on O2 | O3 on O4,0.8304857445623999,True,12,3,
45,True,2.223182674992131,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
46,True,2.4538375670090318,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
47,True,2.510180320998188,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
48,True,2.411958308017347,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
49,True,2.2881451409775764,makebase O3,O2 on O3,O2 on O3 | O4 on O2 | O5 on O4,0.8547682735378839,True,12,3,
