physical_plan,count,fraction
O3 on O2 | O5 on O3 | O4 on O5,36,0.36
O3 on O2 | O5 on O3 | O1 on O5,14,0.14
O3 on O2 | O4 on O3 | O5 on O4,10,0.1
O5 on O2 | O3 on O5 | O4 on O3,9,0.09
O3 on O2 | O4 on O3 | O1 on O4,7,0.07
O2 on O3 | O5 on O2 | O4 on O5,6,0.06
O5 on O2 | O4 on O5 | O3 on O4,3,0.03
O2 on O3 | O5 on O2 | O1 on O5,3,0.03
O5 on O2 | O4 on O5 | O1 on O4,3,0.03
O2 on O3 | O4 on O2 | O5 on O4,2,0.02
O3 on O5 | O2 on O3 | O4 on O2,2,0.02
O3 on O5 | O4 on O3 | O2 on O4,2,0.02
O5 on O2 | O3 on O5 | O1 on O3,2,0.02
O3 on O5 | O4 on O3 | O1 on O4,1,0.01
