run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,2.2958131979976315,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
1,True,2.348930175008718,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O3 on O4,0.8547682735378839,True,12,3,
2,True,2.1536114799964707,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
3,True,2.3034127480059396,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
4,True,2.4489396339922678,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
5,True,2.334482639998896,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
6,True,2.3714741820003837,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
7,True,2.189158936002059,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
8,True,2.480195456999354,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
9,True,2.2068675629852805,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
10,True,2.423334462015191,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
11,True,2.3649562729988247,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
12,True,2.5105778409924824,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
13,True,2.210307104018284,makebase O3,O2 on O3,O2 on O3 | O4 on O2 | O5 on O4,0.8547682735378839,True,12,3,
14,True,2.4459044369868934,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
15,True,2.4233910299954005,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
16,True,2.3509786130161956,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
17,True,2.257781893014908,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
18,True,2.247695224999916,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
19,True,2.312930051004514,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
20,True,2.323480461986037,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
21,True,2.309723795973696,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
22,True,2.3299808090087026,makebase O5,O3 on O5,O3 on O5 | O2 on O3 | O4 on O2,0.8649957754736535,True,12,3,
23,True,2.3719502489839215,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
24,True,2.2834975160076283,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
25,True,2.486283013015054,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
26,True,2.340493672003504,makebase O5,O3 on O5,O3 on O5 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
27,True,2.3318929100059904,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
28,True,2.346672760992078,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
29,True,2.480550865002442,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
30,True,2.380501687002834,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
31,True,2.3559136170079,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
32,True,2.4901855690113734,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
33,True,2.441837888007285,makebase O5,O3 on O5,O3 on O5 | O4 on O3 | O2 on O4,0.8547682735378839,True,12,3,
34,True,2.4728705449961126,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
35,True,2.2809114870033227,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
36,True,2.4742177780135535,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
37,True,2.3752126199833583,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
38,True,2.3807286680093966,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
39,True,2.1195816460240167,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
40,True,2.2572628489870112,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
41,True,2.2228589660080615,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
42,True,2.2950065690092742,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
43,True,2.5114203410048503,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
44,True,2.3521430309920106,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
45,True,2.3966105580038857,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
46,True,2.410119690001011,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
47,True,2.4904568760248367,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
48,True,2.265556458994979,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
49,True,2.3809025490190834,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
50,True,2.2924128829909023,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
51,True,2.550369700998999,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
52,True,2.31904293000116,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
53,True,2.497929025994381,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
54,True,2.2561555949796457,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
55,True,2.165589052980067,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
56,True,2.186957538011484,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
57,True,2.2373497759981547,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
58,True,2.411825087998295,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
59,True,2.175568149978062,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
60,True,2.3817898069974035,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
61,True,2.32183339598123,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
62,True,2.38255855999887,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
63,True,2.2170345099875703,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
64,True,2.4998102599929553,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
65,True,2.3314322179940064,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
66,True,2.3161464820150286,makebase O5,O3 on O5,O3 on O5 | O2 on O3 | O4 on O2,0.8649957754736535,True,12,3,
67,True,2.3110551059944555,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O3 on O4,0.8547682735378839,True,12,3,
68,True,2.373071965004783,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
69,True,2.417464344005566,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
70,True,2.4393085739866365,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O1 on O3,0.21898276272902745,True,12,3,
71,True,2.49924077198375,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
72,True,2.4060714340012055,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
73,True,2.405094643996563,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
74,True,2.209969560994068,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
75,True,2.446054965024814,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
76,True,2.182099814002868,makebase O3,O2 on O3,O2 on O3 | O4 on O2 | O5 on O4,0.8547682735378839,True,12,3,
77,True,2.4277722330007236,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
78,True,2.3995966269867495,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
79,True,2.4504395029798616,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
80,True,2.290333698008908,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
81,True,2.3688801109965425,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
82,True,2.2122832410095725,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
83,True,2.2435703840164933,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
84,True,2.4276354759931564,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
