run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,3.964840759988874,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
1,True,4.972585981013253,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
2,True,4.293823207990499,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
3,True,3.9363285330182407,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O1 on O3,0.21639356322861958,True,12,3,
4,True,3.7881264419993386,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
5,True,3.874942883994663,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
6,True,4.054119432985317,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
7,True,3.961990699986927,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
8,True,3.665983322978718,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
9,True,3.926828233001288,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
10,True,3.9145534279814456,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
11,True,3.7957130419963505,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
12,True,3.7352452799968887,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O1 on O2,0.21639356322861958,True,12,3,
13,True,3.9480200110119767,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
14,True,3.9406622640090063,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
15,True,3.9931032590102404,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
16,True,4.0452845669933595,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
17,True,3.909263335983269,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O1 on O3,0.21639356322861958,True,12,3,
18,True,3.9917193909932394,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
19,True,3.762995417986531,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
20,True,3.912104905000888,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
21,True,3.854123058001278,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
22,True,3.99128474900499,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
23,True,3.83805700801895,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
24,True,3.826193507993594,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
25,True,3.7957639349915553,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
26,True,3.951203474018257,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
27,True,3.920605879975483,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
28,True,3.8029371250013355,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
29,True,3.74763618997531,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
30,True,3.762344418995781,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
31,True,3.9184933399956208,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
32,True,3.84752795600798,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
33,True,3.8830882380134426,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
34,True,3.7777878530032467,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
35,True,3.8601857450266834,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O1 on O2,0.21639356322861958,True,12,3,
36,True,4.033121394022601,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
37,True,3.765079100005096,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
38,True,3.834564382006647,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
39,True,3.860547399002826,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
40,True,4.044098879996454,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
41,True,3.8428581000189297,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
42,True,3.671608334989287,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
43,True,3.908689047995722,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
44,True,4.0376945809985045,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
45,True,3.999310545012122,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
46,True,3.704111046012258,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
47,True,3.9918988639838062,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
48,True,3.9218420969846193,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
49,True,3.72688406999805,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
50,True,3.7333910829911474,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
51,True,3.7952017369971145,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
52,True,3.861854389018845,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O1 on O3,0.21639356322861958,True,12,3,
53,True,3.8439889299916103,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
54,True,3.685385660995962,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
55,True,3.900780020019738,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
56,True,4.030819659004919,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
57,True,3.879663171013817,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
58,True,3.95084411901189,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
