c,heuristic_multiplier,action,votes,vote_fraction,exact_q,exact_rank,total_root_visits,mean_root_visits,weighted_surrogate_q,mean_run_surrogate_q
1.41421356237,5.0,stack21 O2 O5,22,0.7333333333333333,0.981818,2,65953,2198.4333333333334,-39.42337725349871,-60.672832666666665
1.41421356237,5.0,stack27 O2 O1,8,0.26666666666666666,0.983871,1,23996,799.8666666666667,-31.12147479163194,-58.6368602
1.41421356237,5.0,stack17 O2 O3,0,0.0,0.225352,3,51,1.7,-101.08488423529408,-113.0943032
1.41421356237,2.0,stack27 O2 O1,21,0.7,0.983871,1,61083,2036.1,-30.423358381218996,-32.29429856666666
1.41421356237,2.0,stack21 O2 O5,9,0.3,0.981818,2,28857,961.9,-33.68368160238417,-39.19473743333334
1.41421356237,2.0,stack17 O2 O3,0,0.0,0.225352,3,60,2.0,-42.44477,-46.389540000000004
1.41421356237,1.0,stack27 O2 O1,29,0.9666666666666667,0.983871,1,84950,2831.6666666666665,-30.188816951147732,-30.404184133333334
1.41421356237,1.0,stack21 O2 O5,1,0.03333333333333333,0.981818,2,4886,162.86666666666667,-31.453131395824805,-35.51052266666667
1.41421356237,1.0,stack17 O2 O3,0,0.0,0.225352,3,164,5.466666666666667,-33.69146417682927,-34.72459683333333
3.0,5.0,stack21 O2 O5,19,0.6333333333333333,0.981818,2,57083,1902.7666666666667,-39.36145612529124,-70.435193
3.0,5.0,stack27 O2 O1,11,0.36666666666666664,0.983871,1,32872,1095.7333333333333,-31.15265271355561,-61.062316566666674
3.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,45,1.5,-92.01987555555552,-103.77981333333332
3.0,2.0,stack27 O2 O1,30,1.0,0.983871,1,87844,2928.133333333333,-30.37225080825099,-30.3717631
3.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,51,1.7,-45.891489019607846,-49.72664233333333
3.0,2.0,stack21 O2 O5,0,0.0,0.981818,2,2105,70.16666666666667,-34.97862232779097,-43.39088973333333
3.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,87019,2900.633333333333,-30.201337429986555,-30.2013569
3.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,202,6.733333333333333,-35.656268861386145,-36.858255099999994
3.0,1.0,stack21 O2 O5,0,0.0,0.981818,2,2779,92.63333333333334,-31.187477509895647,-34.656301133333336
5.0,5.0,stack21 O2 O5,16,0.5333333333333333,0.981818,2,48047,1601.5666666666666,-39.11565758528108,-123.56422126666666
5.0,5.0,stack27 O2 O1,14,0.4666666666666667,0.983871,1,41905,1396.8333333333333,-31.045698603985205,-50.02443326666666
5.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,48,1.6,-95.12843483333329,-110.95549573333332
5.0,2.0,stack27 O2 O1,29,0.9666666666666667,0.983871,1,85355,2845.1666666666665,-30.393767207544958,-33.546017166666665
5.0,2.0,stack17 O2 O3,1,0.03333333333333333,0.225352,3,3028,100.93333333333334,-46.00837474900926,-51.36105443333334
5.0,2.0,stack21 O2 O5,0,0.0,0.981818,2,1617,53.9,-34.24242424242424,-44.563454099999994
5.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,87590,2919.6666666666665,-30.191460212353007,-30.191655033333333
5.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,286,9.533333333333333,-35.63659036713286,-37.3381797
5.0,1.0,stack21 O2 O5,0,0.0,0.981818,2,2124,70.8,-31.9774011299435,-38.27804773333333
10.0,5.0,stack21 O2 O5,20,0.6666666666666666,0.981818,2,60056,2001.8666666666666,-39.739576395364324,-61.6865036
10.0,5.0,stack27 O2 O1,10,0.3333333333333333,0.983871,1,29887,996.2333333333333,-30.951918894502626,-54.73780923333334
10.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,57,1.9,-83.99212799999998,-98.0850432
10.0,2.0,stack27 O2 O1,30,1.0,0.983871,1,88483,2949.4333333333334,-30.380412056553237,-30.380210499999997
10.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,145,4.833333333333333,-46.77637331034484,-50.2411601
10.0,2.0,stack21 O2 O5,0,0.0,0.981818,2,1372,45.733333333333334,-35.42274052478134,-49.6939474
10.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,84373,2812.4333333333334,-30.18916003934908,-30.188283833333333
10.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,530,17.666666666666668,-37.10515931132074,-38.426786633333336
10.0,1.0,stack21 O2 O5,0,0.0,0.981818,2,5097,169.9,-31.68726701981558,-37.18633833333333
20.0,5.0,stack27 O2 O1,29,0.9666666666666667,0.983871,1,70537,2351.233333333333,-31.009979288883844,-33.664975899999995
20.0,5.0,stack21 O2 O5,1,0.03333333333333333,0.981818,2,19410,647.0,-39.7032457496136,-64.95277026666666
20.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,53,1.7666666666666666,-88.81652777358488,-105.1314213
20.0,2.0,stack27 O2 O1,30,1.0,0.983871,1,85975,2865.8333333333335,-30.368479209072405,-30.368364333333332
20.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,364,12.133333333333333,-47.169778296703306,-51.45427923333333
20.0,2.0,stack21 O2 O5,0,0.0,0.981818,2,3661,122.03333333333333,-34.44960393335154,-40.53846546666667
20.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,77106,2570.2,-30.19959536222862,-30.2001262
20.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,1320,44.0,-37.83039537121213,-38.23197106666667
20.0,1.0,stack21 O2 O5,0,0.0,0.981818,2,11574,385.8,-31.93537238638327,-32.8238901
