c,heuristic_multiplier,runs,iterations,modal_action,modal_fraction,modal_exact_q,exact_optimal_action,exact_optimal_q,optimal_vote_rate,mean_exact_q_of_selected_action,mean_exact_regret,unique_selected_actions
1.41421356237,5.0,30,3000,stack21 O2 O5,0.7333333333333333,0.981818,stack27 O2 O1,0.983871,0.26666666666666666,0.9823654666666666,0.0015055333333334753,2
1.41421356237,2.0,30,3000,stack27 O2 O1,0.7,0.983871,stack27 O2 O1,0.983871,0.7,0.9832550999999999,0.0006159000000001136,2
1.41421356237,1.0,30,3000,stack27 O2 O1,0.9666666666666667,0.983871,stack27 O2 O1,0.983871,0.9666666666666667,0.9838025666666667,6.84333333333953e-05,2
3.0,5.0,30,3000,stack21 O2 O5,0.6333333333333333,0.981818,stack27 O2 O1,0.983871,0.36666666666666664,0.9825707666666667,0.0013002333333334004,2
3.0,2.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
3.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
5.0,5.0,30,3000,stack21 O2 O5,0.5333333333333333,0.981818,stack27 O2 O1,0.983871,0.4666666666666667,0.9827760666666666,0.0010949333333334366,2
5.0,2.0,30,3000,stack27 O2 O1,0.9666666666666667,0.983871,stack27 O2 O1,0.983871,0.9666666666666667,0.9585870333333334,0.025283966666666657,2
5.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
10.0,5.0,30,3000,stack21 O2 O5,0.6666666666666666,0.981818,stack27 O2 O1,0.983871,0.3333333333333333,0.9825023333333333,0.0013686666666667957,2
10.0,2.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
10.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
20.0,5.0,30,3000,stack27 O2 O1,0.9666666666666667,0.983871,stack27 O2 O1,0.983871,0.9666666666666667,0.9838025666666667,6.84333333333953e-05,2
20.0,2.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
20.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
