c,heuristic_multiplier,action,votes,vote_fraction,exact_q,exact_rank,total_root_visits,mean_root_visits,weighted_surrogate_q,mean_run_surrogate_q
1.41421356237,5.0,stack21 O2 O5,22,0.7333333333333333,0.981818,2,66016,2200.5333333333333,-39.387269752787205,-65.05460433333333
1.41421356237,5.0,stack27 O2 O1,7,0.23333333333333334,0.983871,1,20869,695.6333333333333,-31.046811495519673,-73.26019603333334
1.41421356237,5.0,stack17 O2 O3,1,0.03333333333333333,0.225352,3,3115,103.83333333333333,-70.48512515955052,-104.35004233333332
1.41421356237,2.0,stack21 O2 O5,17,0.5666666666666667,0.981818,2,51417,1713.9,-33.75323336639633,-42.15503853333333
1.41421356237,2.0,stack27 O2 O1,13,0.43333333333333335,0.983871,1,38540,1284.6666666666667,-30.494032174364296,-39.03973333333333
1.41421356237,2.0,stack17 O2 O3,0,0.0,0.225352,3,43,1.4333333333333333,-47.1400118604651,-48.51179473333333
1.41421356237,1.0,stack27 O2 O1,30,1.0,0.983871,1,88536,2951.2,-30.206471738275955,-30.206573366666664
1.41421356237,1.0,stack17 O2 O3,0,0.0,0.225352,3,111,3.7,-33.24134684684686,-33.855202733333336
1.41421356237,1.0,stack21 O2 O5,0,0.0,0.981818,2,1353,45.1,-32.106430155210646,-35.59760333333334
3.0,5.0,stack21 O2 O5,20,0.6666666666666666,0.981818,2,60018,2000.6,-39.156003199040285,-86.09975030000001
3.0,5.0,stack27 O2 O1,10,0.3333333333333333,0.983871,1,29943,998.1,-31.023641889590223,-67.85917046666667
3.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,39,1.3,-101.9031499487179,-105.84909493333333
3.0,2.0,stack27 O2 O1,18,0.6,0.983871,1,53387,1779.5666666666666,-30.444871666135953,-34.429367166666665
3.0,2.0,stack21 O2 O5,12,0.4,0.981818,2,36578,1219.2666666666667,-33.447700803761826,-53.983193433333334
3.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,35,1.1666666666666667,-49.105487428571415,-49.617496833333334
3.0,1.0,stack27 O2 O1,29,0.9666666666666667,0.983871,1,84695,2823.1666666666665,-30.209575535745913,-30.768328899999997
3.0,1.0,stack21 O2 O5,1,0.03333333333333333,0.981818,2,5130,171.0,-31.530214424951268,-35.12466413333333
3.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,175,5.833333333333333,-35.316240742857154,-36.1106873
5.0,5.0,stack21 O2 O5,23,0.7666666666666667,0.981818,2,68977,2299.233333333333,-39.32992156805892,-77.74868333333333
5.0,5.0,stack27 O2 O1,7,0.23333333333333334,0.983871,1,20980,699.3333333333334,-31.06148713060057,-72.40056343333335
5.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,43,1.4333333333333333,-98.83823181395344,-102.69591003333333
5.0,2.0,stack27 O2 O1,29,0.9666666666666667,0.983871,1,78969,2632.3,-30.42396843875445,-30.824011
5.0,2.0,stack21 O2 O5,1,0.03333333333333333,0.981818,2,10987,366.23333333333335,-33.67525257122053,-44.501041666666666
5.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,44,1.4666666666666666,-50.237862272727256,-52.682198
5.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,86941,2898.0333333333333,-30.213882769004268,-30.21380406666667
5.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,236,7.866666666666666,-35.49628322033899,-35.72981406666667
5.0,1.0,stack21 O2 O5,0,0.0,0.981818,2,2823,94.1,-31.679064824654624,-38.26861256666667
10.0,5.0,stack21 O2 O5,23,0.7666666666666667,0.981818,2,69014,2300.4666666666667,-38.87631495058974,-66.21046776666667
10.0,5.0,stack27 O2 O1,7,0.23333333333333334,0.983871,1,20950,698.3333333333334,-31.201475374701673,-73.29669340000001
10.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,36,1.2,-107.4939805555555,-111.99277666666667
10.0,2.0,stack27 O2 O1,30,1.0,0.983871,1,88582,2952.733333333333,-30.438919460386987,-30.4386538
10.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,76,2.533333333333333,-48.25466868421055,-48.6966273
10.0,2.0,stack21 O2 O5,0,0.0,0.981818,2,1342,44.733333333333334,-35.45454545454545,-52.94421066666667
10.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,83243,2774.766666666667,-30.21041026656896,-30.2108699
10.0,1.0,stack17 O2 O3,0,0.0,0.225352,3,465,15.5,-37.0989499784946,-37.24794443333334
10.0,1.0,stack21 O2 O5,0,0.0,0.981818,2,6292,209.73333333333332,-31.580578512396695,-35.88564576666667
20.0,5.0,stack21 O2 O5,19,0.6333333333333333,0.981818,2,57125,1904.1666666666667,-38.799474835886215,-65.57684746666666
20.0,5.0,stack27 O2 O1,11,0.36666666666666664,0.983871,1,32835,1094.5,-31.287650373077508,-58.94393816666666
20.0,5.0,stack17 O2 O3,0,0.0,0.225352,3,40,1.3333333333333333,-100.45967679999995,-104.8351246
20.0,2.0,stack27 O2 O1,30,1.0,0.983871,1,85147,2838.233333333333,-30.44828355667258,-30.4483399
20.0,2.0,stack17 O2 O3,0,0.0,0.225352,3,299,9.966666666666667,-48.334520066889645,-49.4652354
20.0,2.0,stack21 O2 O5,0,0.0,0.981818,2,4554,151.8,-33.73078612209047,-40.1170521
20.0,1.0,stack27 O2 O1,30,1.0,0.983871,1,75864,2528.8,-30.1948882210271,-30.194729199999998
