c,heuristic_multiplier,runs,iterations,modal_action,modal_fraction,modal_exact_q,exact_optimal_action,exact_optimal_q,optimal_vote_rate,mean_exact_q_of_selected_action,mean_exact_regret,unique_selected_actions
1.41421356237,5.0,30,3000,stack21 O2 O5,0.7333333333333333,0.981818,stack27 O2 O1,0.983871,0.23333333333333334,0.9570814999999999,0.026789500000000133,3
1.41421356237,2.0,30,3000,stack21 O2 O5,0.5666666666666667,0.981818,stack27 O2 O1,0.983871,0.43333333333333335,0.9827076333333333,0.0011633666666667208,2
1.41421356237,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
3.0,5.0,30,3000,stack21 O2 O5,0.6666666666666666,0.981818,stack27 O2 O1,0.983871,0.3333333333333333,0.9825023333333333,0.0013686666666667957,2
3.0,2.0,30,3000,stack27 O2 O1,0.6,0.983871,stack27 O2 O1,0.983871,0.6,0.9830498,0.0008212000000000774,2
3.0,1.0,30,3000,stack27 O2 O1,0.9666666666666667,0.983871,stack27 O2 O1,0.983871,0.9666666666666667,0.9838025666666667,6.84333333333953e-05,2
5.0,5.0,30,3000,stack21 O2 O5,0.7666666666666667,0.981818,stack27 O2 O1,0.983871,0.23333333333333334,0.9822970333333333,0.0015739666666667596,2
5.0,2.0,30,3000,stack27 O2 O1,0.9666666666666667,0.983871,stack27 O2 O1,0.983871,0.9666666666666667,0.9838025666666667,6.84333333333953e-05,2
5.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
10.0,5.0,30,3000,stack21 O2 O5,0.7666666666666667,0.981818,stack27 O2 O1,0.983871,0.23333333333333334,0.9822970333333333,0.0015739666666667596,2
10.0,2.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
10.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
20.0,5.0,30,3000,stack21 O2 O5,0.6333333333333333,0.981818,stack27 O2 O1,0.983871,0.36666666666666664,0.9825707666666667,0.0013002333333334004,2
20.0,2.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
20.0,1.0,30,3000,stack27 O2 O1,1.0,0.983871,stack27 O2 O1,0.983871,1.0,0.983871,0.0,1
