tuple_below_symbol,tuple_above_symbol,tuple_relation_symbol,pair_index,below_type,below_type_name,below_size,above_type,above_type_name,above_size,effect_label
0,2,0,10,0,Sphere,1,1,Cube,1,roll1
0,2,0,11,0,Sphere,1,1,Cube,2,roll1
0,2,0,12,0,Sphere,1,1,Cube,3,roll1
0,2,0,13,0,Sphere,1,1,Cube,4,roll1
0,2,0,14,0,Sphere,1,1,Cube,5,roll1
0,2,0,15,0,Sphere,1,1,Cube,6,roll1
0,2,0,16,0,Sphere,1,1,Cube,7,roll1
0,2,0,20,0,Sphere,1,2,Vertical cylinder,1,roll1
0,2,0,21,0,Sphere,1,2,Vertical cylinder,2,roll1
0,2,0,22,0,Sphere,1,2,Vertical cylinder,3,tumble2
0,2,0,23,0,Sphere,1,2,Vertical cylinder,4,roll1
0,2,0,24,0,Sphere,1,2,Vertical cylinder,5,tumble1
0,2,0,25,0,Sphere,1,2,Vertical cylinder,6,tumble2
0,2,0,26,0,Sphere,1,2,Vertical cylinder,7,tumble1
0,2,0,27,0,Sphere,1,2,Vertical cylinder,8,tumble1
0,2,0,28,0,Sphere,1,2,Vertical cylinder,9,roll1
0,2,0,60,0,Sphere,2,1,Cube,1,tumble1
0,2,0,61,0,Sphere,2,1,Cube,2,inserted
0,2,0,62,0,Sphere,2,1,Cube,3,roll1
0,2,0,63,0,Sphere,2,1,Cube,4,roll1
0,2,0,64,0,Sphere,2,1,Cube,5,roll1
0,2,0,65,0,Sphere,2,1,Cube,6,roll1
0,2,0,66,0,Sphere,2,1,Cube,7,roll1
0,2,0,70,0,Sphere,2,2,Vertical cylinder,1,tumble1
0,2,0,71,0,Sphere,2,2,Vertical cylinder,2,inserted
0,2,0,72,0,Sphere,2,2,Vertical cylinder,3,tumble1
0,2,0,73,0,Sphere,2,2,Vertical cylinder,4,tumble1
0,2,0,74,0,Sphere,2,2,Vertical cylinder,5,roll1
0,2,0,75,0,Sphere,2,2,Vertical cylinder,6,roll1
0,2,0,76,0,Sphere,2,2,Vertical cylinder,7,roll1
0,2,0,77,0,Sphere,2,2,Vertical cylinder,8,roll1
0,2,0,78,0,Sphere,2,2,Vertical cylinder,9,tumble1
0,2,0,113,0,Sphere,3,1,Cube,4,tumble1
0,2,0,114,0,Sphere,3,1,Cube,5,roll1
0,2,0,115,0,Sphere,3,1,Cube,6,roll1
0,2,0,116,0,Sphere,3,1,Cube,7,roll1
0,2,0,120,0,Sphere,3,2,Vertical cylinder,1,tumble2
0,2,0,122,0,Sphere,3,2,Vertical cylinder,3,tumble2
0,2,0,123,0,Sphere,3,2,Vertical cylinder,4,tumble1
0,2,0,124,0,Sphere,3,2,Vertical cylinder,5,roll1
0,2,0,125,0,Sphere,3,2,Vertical cylinder,6,roll1
0,2,0,126,0,Sphere,3,2,Vertical cylinder,7,tumble1
0,2,0,127,0,Sphere,3,2,Vertical cylinder,8,roll1
