tuple_below_symbol,tuple_above_symbol,tuple_relation_symbol,pair_index,below_type,below_type_name,below_size,above_type,above_type_name,above_size,effect_label
1,3,0,180,0,Sphere,4,3,Horizontal cylinder,1,tumble2
1,3,0,181,0,Sphere,4,3,Horizontal cylinder,2,tumble2
1,3,0,182,0,Sphere,4,3,Horizontal cylinder,3,tumble2
1,3,0,230,0,Sphere,5,3,Horizontal cylinder,1,tumble2
1,3,0,231,0,Sphere,5,3,Horizontal cylinder,2,tumble1
1,3,0,232,0,Sphere,5,3,Horizontal cylinder,3,tumble2
1,3,0,233,0,Sphere,5,3,Horizontal cylinder,4,tumble2
1,3,0,234,0,Sphere,5,3,Horizontal cylinder,5,tumble2
1,3,0,235,0,Sphere,5,3,Horizontal cylinder,6,tumble2
1,3,0,280,0,Sphere,6,3,Horizontal cylinder,1,tumble2
1,3,0,281,0,Sphere,6,3,Horizontal cylinder,2,tumble2
1,3,0,282,0,Sphere,6,3,Horizontal cylinder,3,tumble2
1,3,0,283,0,Sphere,6,3,Horizontal cylinder,4,tumble1
1,3,0,284,0,Sphere,6,3,Horizontal cylinder,5,tumble2
1,3,0,285,0,Sphere,6,3,Horizontal cylinder,6,tumble1
1,3,0,286,0,Sphere,6,3,Horizontal cylinder,7,tumble1
1,3,0,287,0,Sphere,6,3,Horizontal cylinder,8,tumble1
1,3,0,288,0,Sphere,6,3,Horizontal cylinder,9,tumble2
1,3,0,330,0,Sphere,7,3,Horizontal cylinder,1,tumble2
1,3,0,331,0,Sphere,7,3,Horizontal cylinder,2,tumble1
1,3,0,332,0,Sphere,7,3,Horizontal cylinder,3,tumble2
1,3,0,333,0,Sphere,7,3,Horizontal cylinder,4,tumble2
1,3,0,334,0,Sphere,7,3,Horizontal cylinder,5,tumble2
1,3,0,335,0,Sphere,7,3,Horizontal cylinder,6,tumble2
1,3,0,336,0,Sphere,7,3,Horizontal cylinder,7,tumble1
1,3,0,337,0,Sphere,7,3,Horizontal cylinder,8,tumble1
1,3,0,338,0,Sphere,7,3,Horizontal cylinder,9,tumble2
1,3,0,380,0,Sphere,8,3,Horizontal cylinder,1,tumble1
1,3,0,381,0,Sphere,8,3,Horizontal cylinder,2,tumble2
1,3,0,382,0,Sphere,8,3,Horizontal cylinder,3,tumble2
1,3,0,383,0,Sphere,8,3,Horizontal cylinder,4,tumble2
1,3,0,384,0,Sphere,8,3,Horizontal cylinder,5,tumble2
1,3,0,385,0,Sphere,8,3,Horizontal cylinder,6,tumble2
1,3,0,386,0,Sphere,8,3,Horizontal cylinder,7,tumble1
1,3,0,387,0,Sphere,8,3,Horizontal cylinder,8,tumble1
1,3,0,388,0,Sphere,8,3,Horizontal cylinder,9,tumble2
1,3,0,430,0,Sphere,9,3,Horizontal cylinder,1,tumble2
1,3,0,431,0,Sphere,9,3,Horizontal cylinder,2,tumble2
1,3,0,432,0,Sphere,9,3,Horizontal cylinder,3,tumble2
1,3,0,433,0,Sphere,9,3,Horizontal cylinder,4,tumble2
1,3,0,434,0,Sphere,9,3,Horizontal cylinder,5,tumble2
1,3,0,435,0,Sphere,9,3,Horizontal cylinder,6,tumble2
1,3,0,436,0,Sphere,9,3,Horizontal cylinder,7,tumble2
1,3,0,437,0,Sphere,9,3,Horizontal cylinder,8,tumble2
1,3,0,438,0,Sphere,9,3,Horizontal cylinder,9,tumble2
1,3,0,480,0,Sphere,10,3,Horizontal cylinder,1,tumble2
1,3,0,481,0,Sphere,10,3,Horizontal cylinder,2,roll1
1,3,0,482,0,Sphere,10,3,Horizontal cylinder,3,tumble1
1,3,0,483,0,Sphere,10,3,Horizontal cylinder,4,tumble1
1,3,0,484,0,Sphere,10,3,Horizontal cylinder,5,tumble2
1,3,0,485,0,Sphere,10,3,Horizontal cylinder,6,tumble2
1,3,0,486,0,Sphere,10,3,Horizontal cylinder,7,tumble2
1,3,0,487,0,Sphere,10,3,Horizontal cylinder,8,tumble1
1,3,0,488,0,Sphere,10,3,Horizontal cylinder,9,tumble2
1,3,0,1980,3,Horizontal cylinder,10,3,Horizontal cylinder,1,tumble2
1,3,0,1981,3,Horizontal cylinder,10,3,Horizontal cylinder,2,tumble2
1,3,0,1982,3,Horizontal cylinder,10,3,Horizontal cylinder,3,tumble2
1,3,0,1983,3,Horizontal cylinder,10,3,Horizontal cylinder,4,tumble2
1,3,0,1984,3,Horizontal cylinder,10,3,Horizontal cylinder,5,tumble2
1,3,0,1985,3,Horizontal cylinder,10,3,Horizontal cylinder,6,tumble2
1,3,0,1986,3,Horizontal cylinder,10,3,Horizontal cylinder,7,tumble2
1,3,0,1987,3,Horizontal cylinder,10,3,Horizontal cylinder,8,tumble2
1,3,0,1988,3,Horizontal cylinder,10,3,Horizontal cylinder,9,tumble1
1,3,1,30,0,Sphere,1,3,Horizontal cylinder,1,tumble2
1,3,1,31,0,Sphere,1,3,Horizontal cylinder,2,tumble1
1,3,1,32,0,Sphere,1,3,Horizontal cylinder,3,tumble1
1,3,1,33,0,Sphere,1,3,Horizontal cylinder,4,tumble1
1,3,1,34,0,Sphere,1,3,Horizontal cylinder,5,tumble1
1,3,1,35,0,Sphere,1,3,Horizontal cylinder,6,tumble1
1,3,1,36,0,Sphere,1,3,Horizontal cylinder,7,tumble1
1,3,1,37,0,Sphere,1,3,Horizontal cylinder,8,tumble1
1,3,1,38,0,Sphere,1,3,Horizontal cylinder,9,tumble1
1,3,1,80,0,Sphere,2,3,Horizontal cylinder,1,tumble1
1,3,1,81,0,Sphere,2,3,Horizontal cylinder,2,tumble2
1,3,1,82,0,Sphere,2,3,Horizontal cylinder,3,tumble1
