model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,step_counter,last_check_step,surprise_streak,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic,1,1,1,4.6179418309529625,4.6098942375183105,0.008047619884212811,4.530242659250895,4.530242659250895,0.0,1.0,1.0,10.0,0.0,0.0,,,,,
dynamic,1,1,2,4.485738474527995,4.473241068522135,0.01249738734215498,4.397207721074422,4.397207721074422,0.0,1.0,1.0,20.0,0.0,0.0,,,,,
dynamic,1,1,3,4.369324855804443,4.342197481791178,0.02712737813591957,4.269108260472615,4.269108260472615,0.0,1.0,1.0,30.0,0.0,0.0,,,,,
dynamic,1,1,4,4.260680923461914,4.214191157023112,0.04648965318997701,4.142168035507202,4.142168035507202,0.0,1.0,1.0,40.0,0.0,0.0,,,,,
dynamic,1,1,5,4.161985969543457,4.09065842628479,0.0713275330265363,4.022872797648112,4.022872797648112,0.0,1.0,1.0,50.0,0.0,0.0,,,,,
dynamic,1,1,6,4.084656836191813,3.9741620000203453,0.1104948377609253,3.910166393915812,3.910166393915812,0.0,1.0,1.0,60.0,0.0,0.0,,,,,
dynamic,1,1,7,4.022442811330159,3.864085003534953,0.15835782945156096,3.801864684422811,3.801864684422811,0.0,1.0,1.0,70.0,0.0,0.0,,,,,
dynamic,1,1,8,4.004178174336752,3.757853520711263,0.24632466395696004,3.699770002365112,3.699770002365112,0.0,1.0,1.0,80.0,0.0,0.0,,,,,
dynamic,1,1,9,4.028511479695638,3.6582186571757,0.3702927621205648,3.602559429804484,3.602559429804484,0.0,1.0,1.0,90.0,0.0,0.0,,,,,
dynamic,1,1,10,4.104839458465576,3.5617306168874103,0.5431089568138122,3.5104941018422444,3.5104941018422444,0.0,1.0,1.0,100.0,0.0,0.0,,,,,
dynamic,1,1,11,4.2419025293986,3.47355819384257,0.768344357808431,3.4222009785970053,3.4222009785970053,0.0,1.0,1.0,110.0,0.0,0.0,,,,,
dynamic,1,1,12,4.343898646036783,3.386798496246338,0.9571002006530762,3.3386164410909016,3.3386164410909016,0.0,1.0,1.0,120.0,0.0,0.0,,,,,
dynamic,1,1,13,4.464801184336344,3.3055507850646975,1.1592503611246745,3.26070226987203,3.26070226987203,0.0,1.0,1.0,130.0,0.0,0.0,,,,,
dynamic,1,1,14,4.58981138865153,3.2285865847269695,1.3612248134613036,3.1854760678609213,3.1854760678609213,0.0,1.0,1.0,140.0,0.0,0.0,,,,,
dynamic,1,1,15,4.625132204691569,3.155074717203776,1.470057388941447,3.113593953450521,3.113593953450521,0.0,1.0,1.0,150.0,0.0,0.0,,,,,
