canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,4,0.07311654090881348,-1.5222840309143066,-1.005779504776001
1,0,Sphere,2,4,0.30480334162712097,-1.2576160430908203,-0.7027783989906311
2,0,Sphere,3,4,0.029644489288330078,-1.9070494174957275,-1.0097806453704834
3,0,Sphere,4,4,0.08959723263978958,-1.9365791082382202,-0.6524767279624939
4,0,Sphere,5,4,0.2961907386779785,-2.2598612308502197,-0.6609477996826172
5,0,Sphere,6,4,0.565098762512207,-2.4198787212371826,-0.5209874510765076
6,0,Sphere,7,4,0.1177382543683052,-2.0971856117248535,-1.0129168033599854
7,0,Sphere,8,4,0.1963033676147461,-1.9924910068511963,-1.2871084213256836
8,0,Sphere,9,4,0.3854978382587433,-1.804545283317566,-1.5227077007293701
9,0,Sphere,10,4,0.1264040619134903,-1.8128924369812012,-1.255866527557373
10,1,Cube,1,0,0.007537841796875,-1.0172102451324463,-2.2889461517333984
11,1,Cube,2,0,0.043743375688791275,-0.9265047311782837,-2.197455883026123
12,1,Cube,3,0,0.00851297378540039,-1.0408122539520264,-2.383938789367676
13,1,Cube,4,0,0.28350162506103516,-0.7364004254341125,-2.702086925506592
14,1,Cube,5,0,0.22382496297359467,-0.709331750869751,-2.5797066688537598
15,1,Cube,6,0,0.2288990020751953,-0.7961320281028748,-2.6827147006988525
16,1,Cube,7,0,0.5674762725830078,-0.5922037363052368,-2.8695619106292725
17,1,Cube,8,0,0.46657517552375793,-0.6997965574264526,-2.8667616844177246
18,1,Cube,9,0,0.9583702087402344,-0.5852032899856567,-3.1459455490112305
19,1,Cube,10,0,0.20566941797733307,-1.13584566116333,-2.7656826972961426
20,2,V. cylinder,1,0,0.29015350341796875,-1.6110379695892334,-2.141878128051758
21,2,V. cylinder,2,0,0.10602855682373047,-1.4247875213623047,-2.3426477909088135
22,2,V. cylinder,3,0,0.16065193712711334,-1.4826202392578125,-2.1926753520965576
23,2,V. cylinder,4,0,0.03346061706542969,-1.2487787008285522,-2.4206318855285645
24,2,V. cylinder,5,0,0.1346297413110733,-1.4586126804351807,-2.233788251876831
25,2,V. cylinder,6,0,0.06949423998594284,-1.359856367111206,-2.2665176391601562
26,2,V. cylinder,7,0,0.06914138793945312,-1.2603880167007446,-2.522282123565674
27,2,V. cylinder,8,0,0.13831903040409088,-1.3492428064346313,-2.5900180339813232
28,2,V. cylinder,9,0,0.17647266387939453,-1.3550419807434082,-2.647721767425537
29,2,V. cylinder,10,0,0.21350884437561035,-1.48976731300354,-2.064647674560547
30,3,H. cylinder,1,2,0.17926999926567078,0.03894257918000221,-0.5395236015319824
31,3,H. cylinder,2,2,0.24599529802799225,0.26166266202926636,-0.15889331698417664
32,3,H. cylinder,3,2,0.1307966709136963,-0.5706965327262878,-0.08866717666387558
33,3,H. cylinder,4,3,0.20142604410648346,-1.7375938892364502,0.3281278610229492
34,3,H. cylinder,5,3,0.17824602127075195,-1.794762372970581,0.08537262678146362
35,3,H. cylinder,6,3,0.09250498563051224,-2.1289896965026855,0.5563433766365051
36,3,H. cylinder,7,3,0.24956941604614258,-2.3354268074035645,0.7316111922264099
37,3,H. cylinder,8,3,0.10263776779174805,-2.3836750984191895,0.5044592022895813
38,3,H. cylinder,9,3,0.18531274795532227,-2.571247100830078,0.07562348991632462
39,3,H. cylinder,10,3,0.4539298713207245,-2.470025062561035,-0.35182252526283264
40,4,Cup,1,1,0.22942781448364258,2.556983470916748,0.32490622997283936
41,4,Cup,2,1,0.3438401222229004,2.3109705448150635,0.1257627308368683
42,4,Cup,3,1,0.17107297480106354,2.6802964210510254,0.6366066336631775
43,4,Cup,4,1,0.4337668716907501,2.9293694496154785,0.7700885534286499
44,4,Cup,5,1,0.05393362045288086,2.5038328170776367,0.7399976849555969
45,4,Cup,6,1,0.004351139068603516,2.338167667388916,0.7235285639762878
46,4,Cup,7,1,0.14337827265262604,1.9399433135986328,0.8903005123138428
47,4,Cup,8,1,0.24432708323001862,2.0459351539611816,1.1497737169265747
48,4,Cup,9,1,0.23955249786376953,2.370957851409912,1.1905615329742432
49,4,Cup,10,1,0.6054375171661377,2.3447885513305664,1.4857568740844727
