canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,4,0.06424593925476074,-1.5644053220748901,-0.8194912672042847
1,0,Sphere,2,4,0.373073548078537,-1.3015004396438599,-0.5559577941894531
2,0,Sphere,3,4,0.023803474381566048,-1.957401156425476,-0.8966363668441772
3,0,Sphere,4,4,0.20442818105220795,-2.03671932220459,-0.5169664025306702
4,0,Sphere,5,4,0.40594005584716797,-2.3324530124664307,-0.5493127107620239
5,0,Sphere,6,3,0.6057767271995544,-2.5054140090942383,-0.4335833787918091
6,0,Sphere,7,4,0.1063084527850151,-2.123664140701294,-0.9648311138153076
7,0,Sphere,8,4,0.1665806770324707,-1.9851372241973877,-1.269592523574829
8,0,Sphere,9,4,0.37276363372802734,-1.7773183584213257,-1.5141839981079102
9,0,Sphere,10,4,0.12566399574279785,-1.7619383335113525,-1.256263256072998
10,1,Cube,1,0,0.02176857180893421,-0.9802078008651733,-2.2419910430908203
11,1,Cube,2,0,0.08066964894533157,-0.8837918639183044,-2.1453635692596436
12,1,Cube,3,0,0.004565716255456209,-1.0160516500473022,-2.3340892791748047
13,1,Cube,4,0,0.1608910709619522,-0.750684380531311,-2.574892044067383
14,1,Cube,5,0,0.156766876578331,-0.7073916792869568,-2.4769959449768066
15,1,Cube,6,0,0.11212874203920364,-0.8292539119720459,-2.568448305130005
16,1,Cube,7,0,0.4528798758983612,-0.5843597650527954,-2.801820755004883
17,1,Cube,8,0,0.3736371695995331,-0.6905288696289062,-2.8182485103607178
18,1,Cube,9,0,0.9847421646118164,-0.5172980427742004,-3.16479229927063
19,1,Cube,10,0,0.15119600296020508,-1.1173983812332153,-2.7360174655914307
20,2,V. cylinder,1,0,0.34277841448783875,-1.5981649160385132,-2.0724740028381348
21,2,V. cylinder,2,0,0.09744595736265182,-1.3930402994155884,-2.3223397731781006
22,2,V. cylinder,3,0,0.13862848281860352,-1.4323433637619019,-2.222747802734375
23,2,V. cylinder,4,0,0.023691654205322266,-1.2166343927383423,-2.423393726348877
24,2,V. cylinder,5,0,0.14016056060791016,-1.4276481866836548,-2.2049622535705566
25,2,V. cylinder,6,0,0.06994820386171341,-1.3174538612365723,-2.2283382415771484
26,2,V. cylinder,7,0,0.04527902603149414,-1.20975661277771,-2.51896333694458
27,2,V. cylinder,8,0,0.10079430788755417,-1.2710164785385132,-2.6038758754730225
28,2,V. cylinder,9,0,0.1351323127746582,-1.2866367101669312,-2.6541709899902344
29,2,V. cylinder,10,0,0.14829204976558685,-1.384608268737793,-2.1106324195861816
30,3,H. cylinder,1,2,0.11757168918848038,0.02375033125281334,-0.3933321237564087
31,3,H. cylinder,2,2,0.2675798833370209,0.2426849752664566,-0.05953146517276764
32,3,H. cylinder,3,2,0.18310439586639404,-0.6056016087532043,0.05168434977531433
33,3,H. cylinder,4,3,0.19875861704349518,-1.7832962274551392,0.44203588366508484
34,3,H. cylinder,5,3,0.14673660695552826,-1.8175798654556274,0.2516094148159027
35,3,H. cylinder,6,3,0.11763190478086472,-2.1268486976623535,0.617270290851593
36,3,H. cylinder,7,3,0.3234104812145233,-2.316378116607666,0.8385998606681824
37,3,H. cylinder,8,3,0.1674666553735733,-2.400421380996704,0.638530433177948
38,3,H. cylinder,9,3,0.1037898138165474,-2.5149106979370117,0.21678432822227478
39,3,H. cylinder,10,3,0.33642578125,-2.4143834114074707,-0.25665727257728577
40,4,Cup,1,1,0.21059274673461914,2.5635271072387695,0.3658745586872101
41,4,Cup,2,1,0.3041439354419708,2.322394847869873,0.17305316030979156
42,4,Cup,3,1,0.1724076122045517,2.6887874603271484,0.6919454336166382
43,4,Cup,4,1,0.5667314529418945,3.0165951251983643,0.8501899838447571
44,4,Cup,5,1,0.11622953414916992,2.6081247329711914,0.7935487031936646
45,4,Cup,6,1,0.03112220950424671,2.4408416748046875,0.7817774415016174
46,4,Cup,7,1,0.08858586102724075,2.0586659908294678,0.9272186756134033
47,4,Cup,8,1,0.22162149846553802,2.178340196609497,1.1832795143127441
48,4,Cup,9,1,0.26796436309814453,2.4789137840270996,1.1981440782546997
49,4,Cup,10,1,0.6540496349334717,2.5060489177703857,1.497412919998169
