model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,occupancy_min,occupancy_max,occupancy_perplexity,step_counter,last_check_step,last_maintenance_step,last_structure_step,surprise_streak,growth_count,prune_count,merge_count,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic_prune,2,1,1,7.952004337310791,7.923673801422119,0.028330551187197368,7.744782994588216,7.744782994588216,0.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,2,7.6516239484151205,7.607189833323161,0.04443410237630208,7.4197094440460205,7.4197094440460205,0.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,3,7.361229057312012,7.285798683166504,0.07543034772078196,7.105328982671102,7.105328982671102,0.0,1.0,1.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,4,7.093263823191325,6.974958680470785,0.11830514371395111,6.800581143697102,6.800581143697102,0.0,1.0,1.0,1.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,5,6.855777867635092,6.675277779897054,0.1805000925064087,6.515387503306071,6.515387503306071,0.0,1.0,1.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,6,6.655457935333252,6.400329462687174,0.2551284110546112,6.246391909917196,6.246391909917196,0.0,1.0,1.0,1.0,1.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,7,6.487772127787272,6.134229195912679,0.35354297200838725,5.988222014109294,5.988222014109294,0.0,1.0,1.0,1.0,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,8,6.378149229685466,5.884961764017741,0.4931874720255534,5.7545034758249916,5.7545034758249916,0.0,1.0,1.0,1.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,9,6.306121037801106,5.662605094909668,0.6435159810384115,5.537397731145223,5.537397731145223,0.0,1.0,1.0,1.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,10,6.198358949025472,5.4536042976379395,0.74475470383962,5.337517608006795,5.337517608006795,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,11,6.12889918645223,5.2564623705546065,0.8724367841084798,5.154423491160075,5.154423491160075,0.0,1.0,1.0,1.0,1.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,12,5.994428259531657,5.082040799458822,0.9123874394098918,4.9913225205739336,4.9913225205739336,0.0,1.0,1.0,1.0,1.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,13,5.772579199473063,4.930625960032145,0.8419531615575154,4.847027031580607,4.847027031580607,0.0,1.0,1.0,1.0,1.0,1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,14,5.423836669921875,4.788766543070476,0.6350701435407002,4.708663860956828,4.708663860956828,0.0,1.0,1.0,1.0,1.0,1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
