canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,2,0.2374313473701477,-0.37469354271888733,-0.5377951860427856
1,0,Sphere,2,2,0.30011802911758423,-0.33293700218200684,-0.6015573143959045
2,0,Sphere,3,2,0.1170310378074646,-0.8675755858421326,-0.056255143135786057
3,0,Sphere,4,2,0.23913471400737762,-0.458271324634552,-0.7013776898384094
4,0,Sphere,5,2,0.03147333860397339,-0.8893339037895203,-0.22656555473804474
5,0,Sphere,6,2,0.002600192790850997,-0.8125702142715454,-0.3552006483078003
6,0,Sphere,7,2,0.07289361953735352,-0.9354380369186401,-0.1443036049604416
7,0,Sphere,8,2,0.35440871119499207,-1.102621078491211,0.1375514715909958
8,0,Sphere,9,2,0.7006272077560425,-1.2923781871795654,0.3077394366264343
9,0,Sphere,10,2,1.0500367879867554,-1.592453956604004,0.2996354401111603
10,1,Cube,1,0,0.1038205623626709,-1.1695784330368042,1.43131422996521
11,1,Cube,2,0,0.026430845260620117,-1.3431363105773926,1.6970041990280151
12,1,Cube,3,0,0.02639007568359375,-1.2933653593063354,1.5718058347702026
13,1,Cube,4,0,0.0473477840423584,-1.285744071006775,1.715599775314331
14,1,Cube,5,0,0.35459184646606445,-1.1412402391433716,2.0853495597839355
15,1,Cube,6,0,0.10509967058897018,-1.3033475875854492,1.8658292293548584
16,1,Cube,7,0,0.04902196303009987,-1.2866926193237305,1.7227489948272705
17,1,Cube,8,0,0.015165328979492188,-1.5313239097595215,1.4824934005737305
18,1,Cube,9,0,0.1153874322772026,-1.7075417041778564,1.8075003623962402
19,1,Cube,10,0,0.31289198994636536,-2.0087616443634033,1.4963669776916504
20,2,V. cylinder,1,0,0.0227203369140625,-1.3258332014083862,1.5029895305633545
21,2,V. cylinder,2,0,0.128494992852211,-1.4845048189163208,1.2223323583602905
22,2,V. cylinder,3,0,0.49007368087768555,-1.8276474475860596,2.1726491451263428
23,2,V. cylinder,4,0,0.36782458424568176,-1.6624062061309814,2.1497745513916016
24,2,V. cylinder,5,0,0.30834245681762695,-1.5604257583618164,2.1249351501464844
25,2,V. cylinder,6,0,0.1003108099102974,-1.6165015697479248,1.8524463176727295
26,2,V. cylinder,7,0,0.2621045410633087,-1.5930993556976318,2.072787284851074
27,2,V. cylinder,8,0,0.423949271440506,-1.862366795539856,2.0880684852600098
28,2,V. cylinder,9,0,0.38088560104370117,-1.9923650026321411,1.8842540979385376
29,2,V. cylinder,10,0,0.3308591842651367,-1.9296627044677734,1.9054324626922607
30,3,H. cylinder,1,3,1.0723763704299927,0.8053208589553833,-1.663213849067688
31,3,H. cylinder,2,3,2.0898849964141846,1.1512761116027832,-2.3620214462280273
32,3,H. cylinder,3,3,0.9836139678955078,0.6712108850479126,-2.3295092582702637
33,3,H. cylinder,4,3,0.17920993268489838,0.05086059123277664,-1.5380616188049316
34,3,H. cylinder,5,3,0.06859730929136276,-0.2590668201446533,-1.615264892578125
35,3,H. cylinder,6,3,0.17698955535888672,-0.4462363123893738,-1.5249629020690918
36,3,H. cylinder,7,3,0.24881958961486816,-0.7065817713737488,-1.906009554862976
37,3,H. cylinder,8,3,1.1573776006698608,-1.2830095291137695,-1.9329116344451904
38,3,H. cylinder,9,3,2.363264799118042,-1.7435489892959595,-1.7821950912475586
39,3,H. cylinder,10,3,5.044165134429932,-2.438838005065918,-2.1398160457611084
40,4,Cup,1,1,0.10459088534116745,2.7485034465789795,-1.627211093902588
41,4,Cup,2,1,0.5447196960449219,3.047046661376953,-2.351764440536499
42,4,Cup,3,1,0.03590917959809303,2.6890196800231934,-1.7835934162139893
43,4,Cup,4,1,0.5140800476074219,3.040894031524658,-2.3274049758911133
44,4,Cup,5,1,0.5123629570007324,3.217052459716797,-1.7344048023223877
45,4,Cup,6,1,0.2659416198730469,2.9804611206054688,-2.056640625
46,4,Cup,7,1,0.6089010238647461,3.198887825012207,-2.211972713470459
47,4,Cup,8,1,0.2137117236852646,2.8604018688201904,-2.1470439434051514
48,4,Cup,9,1,0.00023984909057617188,2.500026226043701,-1.8574657440185547
49,4,Cup,10,1,0.2763538062572479,2.9321017265319824,-2.1588292121887207
