model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,occupancy_min,occupancy_max,occupancy_perplexity,step_counter,last_check_step,last_maintenance_step,last_structure_step,surprise_streak,growth_count,prune_count,merge_count,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic_prune,3,1,1,4.495498415629069,4.483428789774577,0.012069703874488672,4.378529787063599,4.378529787063599,0.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,2,4.317761039733886,4.304386056264241,0.013374928186337154,4.204540615081787,4.204540615081787,0.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,3,4.16725656191508,4.135305868784586,0.03195068846146266,4.043915111223857,4.043915111223857,0.0,1.0,1.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,4,4.042923189798991,3.982054796218872,0.06086830685536067,3.8979251352945963,3.8979251352945963,0.0,1.0,1.0,1.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,5,3.932563371658325,3.838150281906128,0.09441309034824372,3.759583322207133,3.759583322207133,0.0,1.0,1.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,6,3.8529784965515135,3.7036188220977784,0.14935969909032185,3.6275390434265136,3.6275390434265136,0.0,1.0,1.0,1.0,1.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,7,3.8034866746266682,3.5753394412994384,0.2281472357114156,3.504912308057149,3.504912308057149,0.0,1.0,1.0,1.0,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,8,3.7962344042460123,3.4557130622863768,0.3405213419596354,3.388918900489807,3.388918900489807,0.0,1.0,1.0,1.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,9,3.8433246485392254,3.342273893356323,0.5010507361094156,3.278258213996887,3.278258213996887,0.0,1.0,1.0,1.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,10,3.9076785469055175,3.2326771513621013,0.6750014003117879,3.1709071429570517,3.1709071429570517,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,11,4.026701507568359,3.126173235575358,0.9005282958348592,3.068019259770711,3.068019259770711,0.0,1.0,1.0,1.0,1.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,12,4.078429600397746,3.0277830823262533,1.0506465562184653,2.9721658515930174,2.9721658515930174,0.0,1.0,1.0,1.0,1.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,13,3.9987527084350587,2.93345118522644,1.0653015343348184,2.885317498842875,2.885317498842875,0.0,1.0,1.0,1.0,1.0,1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,14,3.770285259882609,2.8504674371083576,0.9198178100585938,2.8003182967503863,2.8003182967503863,0.0,1.0,1.0,1.0,1.0,1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,15,3.525056349436442,2.767263984680176,0.7577923917770386,2.7221378819147746,2.7221378819147746,0.0,1.0,1.0,1.0,1.0,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,16,3.3754704920450846,2.689721428553263,0.6857490674654643,2.6496322186787924,2.6496322186787924,0.0,1.0,1.0,1.0,1.0,1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,17,3.3046655495961508,2.619268906911214,0.6853966212272644,2.5792837047576906,2.5792837047576906,0.0,1.0,1.0,1.0,1.0,1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,18,3.2618128363291423,2.551171073913574,0.7106417346000672,2.5135941092173257,2.5135941092173257,0.0,1.0,1.0,1.0,1.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,19,3.209358746210734,2.4877421124776204,0.7216165804862976,2.4536097304026288,2.4536097304026288,0.0,1.0,1.0,1.0,1.0,1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,20,3.196608912150065,2.429534772237142,0.7670741144816081,2.397706085840861,2.397706085840861,0.0,1.0,1.0,1.0,1.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,21,3.161988452275594,2.374637591044108,0.7873508842786153,2.3469243303934735,2.3469243303934735,0.0,1.0,1.0,1.0,1.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,3,1,22,3.114641342163086,2.326718886693319,0.7879224530855815,2.2987790648142497,2.2987790648142497,0.0,1.0,1.0,1.0,1.0,1.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
