model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq
original,4,1,1,7.7006700897216795,7.7006700897216795,0.0,4.703380533854166,4.703380533854166,0.0
original,4,1,2,6.696826941172282,6.696826941172282,0.0,4.538317317962647,4.538317317962647,0.0
original,4,1,3,6.275258865356445,6.275258865356445,0.0,3.8251618480682374,3.8251618480682374,0.0
original,4,1,4,5.719455127716064,5.719455127716064,0.0,4.222841685612996,4.222841685612996,0.0
original,4,1,5,5.347621644337972,5.347621644337972,0.0,4.620500914255778,4.620500914255778,0.0
original,4,1,6,4.929818986256917,4.929818986256917,0.0,4.676432596842448,4.676432596842448,0.0
original,4,1,7,4.746120732625325,4.746120732625325,0.0,4.663353942235311,4.663353942235311,0.0
original,4,1,8,4.575290273030599,4.575290273030599,0.0,4.353277676900228,4.353277676900228,0.0
original,4,1,9,4.204183549880981,4.204183549880981,0.0,3.944776725769043,3.944776725769043,0.0
original,4,1,10,4.028371391296386,4.028371391296386,0.0,3.874201622009277,3.874201622009277,0.0
original,4,1,11,3.7664781856536864,3.7664781856536864,0.0,3.647509520848592,3.647509520848592,0.0
original,4,1,12,3.625618101755778,3.625618101755778,0.0,3.3555575688680013,3.3555575688680013,0.0
original,4,1,13,3.561254285176595,3.561254285176595,0.0,3.2248037306467694,3.2248037306467694,0.0
original,4,1,14,3.236045516331991,3.236045516331991,0.0,2.9421766249338788,2.9421766249338788,0.0
original,4,1,15,3.014239238103231,3.014239238103231,0.0,2.9756938552856447,2.9756938552856447,0.0
original,4,1,16,2.9326834646860758,2.9326834646860758,0.0,2.9033910846710205,2.9033910846710205,0.0
original,4,1,17,2.7529461987813315,2.7529461987813315,0.0,2.4323911380767824,2.4323911380767824,0.0
original,4,1,18,2.577838338216146,2.577838338216146,0.0,2.5309941577911377,2.5309941577911377,0.0
original,4,1,19,2.4142790603637696,2.4142790603637696,0.0,2.1959072081247966,2.1959072081247966,0.0
original,4,1,20,2.3855992952982583,2.3855992952982583,0.0,2.3457756996154786,2.3457756996154786,0.0
original,4,1,21,2.3247192096710205,2.3247192096710205,0.0,2.0975398953755695,2.0975398953755695,0.0
original,4,1,22,2.172215461730957,2.172215461730957,0.0,2.1328483231862387,2.1328483231862387,0.0
original,4,1,23,2.1487525590260823,2.1487525590260823,0.0,1.9489326477050781,1.9489326477050781,0.0
original,4,1,24,2.065833101272583,2.065833101272583,0.0,1.990272027651469,1.990272027651469,0.0
original,4,1,25,1.952710886001587,1.952710886001587,0.0,1.872233470280965,1.872233470280965,0.0
original,4,1,26,1.9267382526397705,1.9267382526397705,0.0,1.8698998928070067,1.8698998928070067,0.0
original,4,1,27,1.8134669621785482,1.8134669621785482,0.0,1.7414612356821697,1.7414612356821697,0.0
original,4,1,28,1.8517316722869872,1.8517316722869872,0.0,1.6932285896937052,1.6932285896937052,0.0
original,4,1,29,1.683415347735087,1.683415347735087,0.0,1.6388448651631673,1.6388448651631673,0.0
original,4,1,30,1.6885597117741902,1.6885597117741902,0.0,1.5899126863479613,1.5899126863479613,0.0
original,4,1,31,1.6918442805608114,1.6918442805608114,0.0,1.5502013794581095,1.5502013794581095,0.0
original,4,1,32,1.5810594797134399,1.5810594797134399,0.0,1.4921257019042968,1.4921257019042968,0.0
original,4,1,33,1.5344350878397623,1.5344350878397623,0.0,1.4801937500635782,1.4801937500635782,0.0
original,4,1,34,1.4721838124593098,1.4721838124593098,0.0,1.4233678340911866,1.4233678340911866,0.0
original,4,1,35,1.441136342684428,1.441136342684428,0.0,1.3765874099731445,1.3765874099731445,0.0
original,4,1,36,1.4610046180089316,1.4610046180089316,0.0,1.3617104037602743,1.3617104037602743,0.0
original,4,1,37,1.335410540898641,1.335410540898641,0.0,1.296954968770345,1.296954968770345,0.0
original,4,1,38,1.3413161849975586,1.3413161849975586,0.0,1.2917085075378418,1.2917085075378418,0.0
original,4,1,39,1.2763434505462647,1.2763434505462647,0.0,1.257655701637268,1.257655701637268,0.0
original,4,1,40,1.2790974505742392,1.2790974505742392,0.0,1.2343234093983968,1.2343234093983968,0.0
original,4,1,41,1.254047547976176,1.254047547976176,0.0,1.2495003445943196,1.2495003445943196,0.0
original,4,1,42,1.2087344566980998,1.2087344566980998,0.0,1.2241970332463583,1.2241970332463583,0.0
original,4,1,43,1.239223132133484,1.239223132133484,0.0,1.235869329770406,1.235869329770406,0.0
original,4,1,44,1.2539072736104329,1.2539072736104329,0.0,1.2069517151514688,1.2069517151514688,0.0
original,4,1,45,1.1690932655334472,1.1690932655334472,0.0,1.1534540510177613,1.1534540510177613,0.0
original,4,1,46,1.1776631832122804,1.1776631832122804,0.0,1.1288617245356243,1.1288617245356243,0.0
original,4,1,47,1.1055843544006347,1.1055843544006347,0.0,1.1154510561625164,1.1154510561625164,0.0
original,4,1,48,1.1102508274714151,1.1102508274714151,0.0,1.102803970972697,1.102803970972697,0.0
original,4,1,49,1.13126606464386,1.13126606464386,0.0,1.098688842455546,1.098688842455546,0.0
original,4,1,50,1.107957696914673,1.107957696914673,0.0,1.0955738639831543,1.0955738639831543,0.0
original,4,1,51,1.0572476514180502,1.0572476514180502,0.0,1.0696724319458009,1.0696724319458009,0.0
original,4,1,52,1.0745183483759562,1.0745183483759562,0.0,1.0578950436909993,1.0578950436909993,0.0
original,4,1,53,1.0537344360351562,1.0537344360351562,0.0,1.0378213866551718,1.0378213866551718,0.0
original,4,1,54,1.060694440205892,1.060694440205892,0.0,1.0355829016367595,1.0355829016367595,0.0
original,4,1,55,1.073221378326416,1.073221378326416,0.0,1.0413002506891886,1.0413002506891886,0.0
original,4,1,56,1.0115561111768088,1.0115561111768088,0.0,1.011223899523417,1.011223899523417,0.0
original,4,1,57,1.020397146542867,1.020397146542867,0.0,1.0072510480880736,1.0072510480880736,0.0
original,4,1,58,1.0374137862523396,1.0374137862523396,0.0,1.0030886872609457,1.0030886872609457,0.0
original,4,1,59,1.0017766618728638,1.0017766618728638,0.0,0.9955140924453736,0.9955140924453736,0.0
original,4,1,60,0.9731536316871643,0.9731536316871643,0.0,0.9856572087605794,0.9856572087605794,0.0
original,4,1,61,1.0231559244791666,1.0231559244791666,0.0,0.9801057847340902,0.9801057847340902,0.0
original,4,1,62,0.9697881778081258,0.9697881778081258,0.0,0.9677554003397624,0.9677554003397624,0.0
original,4,1,63,0.9548337459564209,0.9548337459564209,0.0,0.9592556444803874,0.9592556444803874,0.0
original,4,1,64,0.9592090479532878,0.9592090479532878,0.0,0.9691167640686035,0.9691167640686035,0.0
original,4,1,65,0.9572127946217854,0.9572127946217854,0.0,0.9616195106506348,0.9616195106506348,0.0
original,4,1,66,0.9480082352956136,0.9480082352956136,0.0,0.9547228908538818,0.9547228908538818,0.0
original,4,1,67,0.9375151801109314,0.9375151801109314,0.0,0.9519676192601522,0.9519676192601522,0.0
original,4,1,68,0.96809889793396,0.96809889793396,0.0,0.9409563191731771,0.9409563191731771,0.0
original,4,1,69,0.9330741834640502,0.9330741834640502,0.0,0.9367964299519856,0.9367964299519856,0.0
original,4,1,70,0.9376740002632141,0.9376740002632141,0.0,0.9259271510442098,0.9259271510442098,0.0
original,4,1,71,0.9214404733975728,0.9214404733975728,0.0,0.9114517474174499,0.9114517474174499,0.0
original,4,1,72,0.8982052262624105,0.8982052262624105,0.0,0.9145975859959921,0.9145975859959921,0.0
original,4,1,73,0.9304747422536214,0.9304747422536214,0.0,0.9100099190076192,0.9100099190076192,0.0
original,4,1,74,0.9110574150085449,0.9110574150085449,0.0,0.9135127274195353,0.9135127274195353,0.0
original,4,1,75,0.8841763440767924,0.8841763440767924,0.0,0.9048981738090515,0.9048981738090515,0.0
original,4,1,76,0.8892473570505778,0.8892473570505778,0.0,0.8926878770192465,0.8926878770192465,0.0
original,4,1,77,0.8905015055338542,0.8905015055338542,0.0,0.8957547148068746,0.8957547148068746,0.0
original,4,1,78,0.8837870113054911,0.8837870113054911,0.0,0.8851677783330282,0.8851677783330282,0.0
original,4,1,79,0.8960604246457418,0.8960604246457418,0.0,0.8851147270202637,0.8851147270202637,0.0
original,4,1,80,0.8744857803980509,0.8744857803980509,0.0,0.8737859241167705,0.8737859241167705,0.0
original,4,1,81,0.8578331287701925,0.8578331287701925,0.0,0.86285382827123,0.86285382827123,0.0
original,4,1,82,0.8665702398618063,0.8665702398618063,0.0,0.8711622420946757,0.8711622420946757,0.0
original,4,1,83,0.8655625255902608,0.8655625255902608,0.0,0.8685348256429036,0.8685348256429036,0.0
original,4,1,84,0.8545119460423788,0.8545119460423788,0.0,0.8556503160794576,0.8556503160794576,0.0
original,4,1,85,0.8594174337387085,0.8594174337387085,0.0,0.8627770249048868,0.8627770249048868,0.0
original,4,1,86,0.8526886828740438,0.8526886828740438,0.0,0.8497472476959228,0.8497472476959228,0.0
original,4,1,87,0.8421658253669739,0.8421658253669739,0.0,0.84589297691981,0.84589297691981,0.0
original,4,1,88,0.8381367905934651,0.8381367905934651,0.0,0.8350571123758952,0.8350571123758952,0.0
original,4,1,89,0.8340359004338582,0.8340359004338582,0.0,0.8382112463315328,0.8382112463315328,0.0
original,4,1,90,0.8387235633532206,0.8387235633532206,0.0,0.8411970361073812,0.8411970361073812,0.0
original,4,1,91,0.835676839351654,0.835676839351654,0.0,0.8283379459381104,0.8283379459381104,0.0
original,4,1,92,0.8340161267916362,0.8340161267916362,0.0,0.8332712467511495,0.8332712467511495,0.0
original,4,1,93,0.839034149646759,0.839034149646759,0.0,0.8359063943227132,0.8359063943227132,0.0
original,4,1,94,0.8351529932022095,0.8351529932022095,0.0,0.8221295777956644,0.8221295777956644,0.0
original,4,1,95,0.8108270788192748,0.8108270788192748,0.0,0.8226406407356263,0.8226406407356263,0.0
original,4,1,96,0.8240808939933777,0.8240808939933777,0.0,0.811634693145752,0.811634693145752,0.0
original,4,1,97,0.8068485546112061,0.8068485546112061,0.0,0.809265848795573,0.809265848795573,0.0
original,4,1,98,0.8126048103968302,0.8126048103968302,0.0,0.8013773973782857,0.8013773973782857,0.0
original,4,1,99,0.8061116631825765,0.8061116631825765,0.0,0.8066861693064372,0.8066861693064372,0.0
original,4,1,100,0.809939353466034,0.809939353466034,0.0,0.8039971550305685,0.8039971550305685,0.0
original,4,1,101,0.8101078311602274,0.8101078311602274,0.0,0.7972116152445475,0.7972116152445475,0.0
original,4,1,102,0.7988535213470459,0.7988535213470459,0.0,0.7964213387171427,0.7964213387171427,0.0
original,4,1,103,0.7931843996047974,0.7931843996047974,0.0,0.7917835458119711,0.7917835458119711,0.0
original,4,1,104,0.7919710040092468,0.7919710040092468,0.0,0.7913804586728413,0.7913804586728413,0.0
original,4,1,105,0.7966930866241455,0.7966930866241455,0.0,0.7902090915044149,0.7902090915044149,0.0
original,4,1,106,0.7898228168487549,0.7898228168487549,0.0,0.7854272949695588,0.7854272949695588,0.0
original,4,1,107,0.7840281414985657,0.7840281414985657,0.0,0.7865958925088247,0.7865958925088247,0.0
original,4,1,108,0.7913536127408346,0.7913536127408346,0.0,0.7833102635542551,0.7833102635542551,0.0
original,4,1,109,0.7856551289558411,0.7856551289558411,0.0,0.7911960371335347,0.7911960371335347,0.0
original,4,1,110,0.7864982469876607,0.7864982469876607,0.0,0.7814831169446309,0.7814831169446309,0.0
original,4,1,111,0.7842782354354858,0.7842782354354858,0.0,0.7853321655591329,0.7853321655591329,0.0
original,4,1,112,0.7802551253636678,0.7802551253636678,0.0,0.7824436171849569,0.7824436171849569,0.0
original,4,1,113,0.7753895123799642,0.7753895123799642,0.0,0.7804911871751149,0.7804911871751149,0.0
original,4,1,114,0.7772814655303955,0.7772814655303955,0.0,0.7779616638024648,0.7779616638024648,0.0
original,4,1,115,0.779141952196757,0.779141952196757,0.0,0.7753045701980591,0.7753045701980591,0.0
original,4,1,116,0.773592069943746,0.773592069943746,0.0,0.773904050985972,0.773904050985972,0.0
original,4,1,117,0.771803617477417,0.771803617477417,0.0,0.7733485003312429,0.7733485003312429,0.0
original,4,1,118,0.7680936439832051,0.7680936439832051,0.0,0.7795637877782186,0.7795637877782186,0.0
original,4,1,119,0.771157001654307,0.771157001654307,0.0,0.769722855091095,0.769722855091095,0.0
original,4,1,120,0.763905250231425,0.763905250231425,0.0,0.7666379833221435,0.7666379833221435,0.0
original,4,1,121,0.759268897374471,0.759268897374471,0.0,0.7684012607733408,0.7684012607733408,0.0
original,4,1,122,0.7682162419954935,0.7682162419954935,0.0,0.767724609375,0.767724609375,0.0
original,4,1,123,0.7704103350639343,0.7704103350639343,0.0,0.7800433508555095,0.7800433508555095,0.0
original,4,1,124,0.7726888640721639,0.7726888640721639,0.0,0.7663722507158915,0.7663722507158915,0.0
original,4,1,125,0.760748344262441,0.760748344262441,0.0,0.7551513147354126,0.7551513147354126,0.0
original,4,1,126,0.7631426548957825,0.7631426548957825,0.0,0.7627046398321787,0.7627046398321787,0.0
original,4,1,127,0.7790992069244385,0.7790992069244385,0.0,0.75883220632871,0.75883220632871,0.0
original,4,1,128,0.7678725616137186,0.7678725616137186,0.0,0.749818559885025,0.749818559885025,0.0
original,4,1,129,0.7575949064890544,0.7575949064890544,0.0,0.7621707646052043,0.7621707646052043,0.0
original,4,1,130,0.7604628388086955,0.7604628388086955,0.0,0.7554789292812347,0.7554789292812347,0.0
original,4,1,131,0.7547363964716594,0.7547363964716594,0.0,0.7612711878617605,0.7612711878617605,0.0
original,4,1,132,0.7596203462282817,0.7596203462282817,0.0,0.7566410406430563,0.7566410406430563,0.0
